# Instrument:
#     0: HET/HRS (W. Cochran)
#     1: Keck/HIRES post-2004 upgrade (Sozzetti+2009, Dupuy+2016, Butler+2017)
#     2: Keck/HIRES pre-2004 upgrade (Sozzetti+2009)
#
# File format:
# Epoch[BJD]    RV[m/s]  RV_err[m/s] InstrumentID
2454779.574244 34.2132  3.44        0
2455020.912399 21.6871  4.93        0
2455022.910332 25.3159  4.54        0
2455049.836422 5.3890   5.56        0
2455139.580381 8.7968   3.41        0
2455292.934679 0.6204   4.26        0
2455322.856094 2.7803   4.12        0
2455525.551681 6.7760   4.26        0
2455628.997530 4.4556   5.38        0
2455686.846744 -12.1343 4.86        0
2455730.748252 -0.3855  4.92        0
2455837.669752 -1.3965  3.52        0
2455869.571890 -13.9406 3.61        0
2456127.665899 -7.5988  5.72        0
2456194.681231 -1.6896  3.97        0
2456202.661498 -8.0022  3.68        0
2456208.649405 -17.8377 3.23        0
2456224.607938 -14.7299 3.51        0
2456363.997578 -21.1192 4.46        0
2456474.955916 -11.1176 5.98        0
2456109.920    8.17     1.2         1
2456110.831    10.13    1.3         1
2456111.897    5.57     1.1         1
2456112.869    8.11     1.3         1
2456113.809    13.53    1.2         1
2457151.099    -12.17   1.2         1
2457180.106    -15.00   1.3         1
2457180.109    -13.76   1.2         1
2457229.929    -13.25   1.3         1
2457229.932    -16.68   1.2         1
2456111.89446  1.71     1.26        1
2456112.86674  7.40     1.23        1
2456113.80667  9.98     1.35        1
2456114.82919  8.59     1.44        1
2456115.85084  9.09     1.24        1
2456133.92633  3.51     1.26        1
2456134.96470  3.97     1.38        1
2456138.02814  2.31     1.22        1
2456144.82076  6.76     1.38        1
2456148.96782  7.42     1.38        1
2456174.84219  11.02    1.48        1
2456175.88486  8.89     1.34        1
2456176.92685  6.86     2.05        1
2456202.74051  10.81    1.34        1
2456207.78450  10.30    1.52        1
2456468.91053  1.02     1.52        1
2456469.12018  -2.46    1.44        1
2456472.90913  -1.61    1.36        1
2456473.02215  1.31     1.21        1
2456473.81383  2.67     1.27        1
2456474.95017  2.78     1.41        1
2456475.79081  -1.73    1.29        1
2456476.81030  1.44     1.48        1
2456476.97891  -6.47    1.51        1
2456477.80247  -2.72    1.19        1
2456478.89449  0.08     1.33        1
2456483.77461  -2.36    1.40        1
2456484.77751  -2.92    1.29        1
2456485.09719  -10.56   1.38        1
2456485.76358  9.13     1.54        1
2456485.76809  -4.33    1.31        1
2456486.11823  -4.23    1.39        1
2456486.76418  -0.63    1.21        1
2456487.08133  -4.32    1.22        1
2456487.83024  -3.88    1.28        1
2456488.01308  -2.01    1.20        1
2456488.79595  -4.20    1.25        1
2456489.11295  -2.41    1.27        1
2456489.11737  -4.23    1.25        1
2456489.12197  -1.39    1.31        1
2456489.78290  -0.91    1.29        1
2456489.78756  -2.88    1.28        1
2456489.79246  -2.84    1.30        1
2456490.02910  -6.01    1.47        1
2456490.03159  -1.50    1.19        1
2456490.03461  -1.54    1.32        1
2456492.95227  -0.47    1.24        1
2456492.95513  -0.47    1.25        1
2456492.95799  0.75     1.19        1
2456493.84368  2.44     1.25        1
2456493.84656  1.28     1.21        1
2456493.84958  -1.00    1.29        1
2456494.07502  -0.79    1.25        1
2456494.07892  -2.23    1.24        1
2456494.08281  -1.67    1.27        1
2456495.11337  -2.60    1.33        1
2456495.11845  -0.72    1.30        1
2456506.74799  3.36     1.14        1
2456506.75117  5.89     1.14        1
2456506.75438  4.65     1.22        1
2456507.01324  -1.98    1.17        1
2456507.01679  -5.78    1.22        1
2456507.02042  -4.99    1.23        1
2456507.79328  -0.75    1.33        1
2456507.79846  4.94     1.45        1
2456507.81222  -1.04    1.52        1
2456508.04567  -2.07    1.16        1
2456508.04970  1.07     1.19        1
2456508.05377  -1.28    1.21        1
2456512.76249  2.00     1.17        1
2456512.76580  0.54     1.14        1
2456512.76903  0.06     1.16        1
2456513.00280  -2.06    1.19        1
2456513.00719  2.51     1.29        1
2456513.01059  -0.85    1.21        1
2456513.76988  -1.64    1.16        1
2456513.77301  -2.08    1.28        1
2456513.77612  4.62     1.17        1
2456513.99063  0.94     1.12        1
2456513.99378  -2.77    1.08        1
2456513.99694  0.73     1.27        1
2456518.77538  0.52     1.28        1
2456518.78175  4.95     1.13        1
2456518.78752  1.98     1.23        1
2456519.74021  -0.47    1.30        1
2456519.74513  -1.56    1.21        1
2456519.75049  -0.93    1.18        1
2456520.04044  0.70     1.23        1
2456521.75271  0.44     1.07        1
2456521.75560  1.89     1.04        1
2456521.75850  2.77     1.05        1
2456521.91534  -0.87    1.07        1
2456521.91829  0.32     1.17        1
2456521.92131  0.00     1.19        1
2456522.74530  2.45     1.15        1
2456522.74899  3.85     1.09        1
2456522.75257  4.22     1.10        1
2456522.94085  -1.58    1.04        1
2456522.94437  -0.33    1.14        1
2456522.94784  -1.33    1.16        1
2456523.77049  1.95     1.14        1
2456524.02656  6.73     1.31        1
2456524.74206  0.77     1.13        1
2456524.74491  1.35     1.06        1
2456525.00576  2.41     1.29        1
2456525.01053  0.82     1.18        1
2456525.73149  -1.22    1.02        1
2456525.73440  0.19     1.03        1
2456525.86139  2.47     1.24        1
2456525.86429  2.75     1.29        1
2456529.88634  2.33     1.32        1
2456529.89315  6.98     1.44        1
2456530.73660  2.28     1.32        1
2456530.74118  0.88     1.25        1
2456530.94572  2.42     1.24        1
2456530.95043  1.22     1.23        1
2456531.79369  -1.22    1.22        1
2456531.79670  1.87     1.26        1
2456532.73249  -1.52    1.21        1
2456532.73564  1.54     1.21        1
2456532.73868  1.68     1.19        1
2456532.94601  0.31     1.22        1
2456532.94910  0.79     1.32        1
2456533.76361  2.70     1.19        1
2456533.76668  4.93     1.17        1
2456533.89979  1.28     1.24        1
2456533.90299  3.49     1.28        1
2456547.75675  1.61     1.40        1
2456547.75968  2.33     1.39        1
2456584.73985  -0.50    1.32        1
2456584.74308  -3.86    1.48        1
2456585.71889  -0.83    1.46        1
2456585.72199  -1.74    1.41        1
2456588.70472  0.20     1.35        1
2456588.70780  -3.49    1.49        1
2456826.85407  -6.19    1.24        1
2456826.85764  -7.05    1.17        1
2456826.86102  -5.98    1.18        1
2456827.94778  -16.44   1.85        1
2456827.95370  -10.57   1.30        1
2456827.95700  -10.28   1.25        1
2456827.96027  -13.89   1.29        1
2456828.89802  -6.27    1.43        1
2456828.90205  -10.29   1.35        1
2456828.90762  -7.10    1.49        1
2456829.84235  -9.39    1.34        1
2456829.84641  -7.21    1.36        1
2456829.85052  -9.20    1.31        1
2456830.84924  -11.23   1.23        1
2456830.85258  -11.89   1.23        1
2456830.85603  -12.07   1.30        1
2452812.01857  9.9      6.1         2
2452920.69767  6.3      9.6         2
2453162.01225  -4.9     4.1         2
2453191.98927  -0.3     7.8         2
