# Instrument: NIRC2 on Keck
##
# File format
# Date        Sep        Err_sep    PA         Err_PA
  2013.598    1.84256    0.00148    252.911    0.046 
  2014.571    1.84355    0.00169    252.876    0.039 
  2014.604    1.84167    0.00162    252.743    0.037
  2014.913    1.84059    0.00161    252.743    0.036 
  2015.276    1.84033    0.00255    252.76     0.048 
  2015.276    1.84141    0.00155    252.764    0.034
  2015.473    1.84239    0.00175    252.785    0.039 
  2015.552    1.84192    0.00176    252.783    0.039
  2016.458    1.84078    0.00172    252.775    0.047 
  2019.514    1.84150    0.00183    253.077    0.057
  2022.527    1.83491    0.00182    253.147    0.040
  2022.527    1.83578    0.00176    253.137    0.045
